call id,agent,date,time,topic,answered (Y/N),resolved,speed of answer in seconds,avgtalkduration,satisfaction rating
ID0938,Stewart,1/17/2021,13:36:29,Contract related,Y,Y,98,76,5
ID0939,Joe,1/17/2021,13:53:46,Contract related,Y,Y,120,140,4
ID0940,Becky,1/17/2021,13:53:46,Technical Support,Y,Y,91,45,5
ID0941,Martha,1/17/2021,14:00:58,Payment related,Y,Y,22,293,5
ID0942,Diane,1/17/2021,14:00:58,Streaming,Y,N,113,165,2
ID0943,Diane,1/17/2021,14:18:14,Streaming,N,N,,0,
ID0944,Jim,1/17/2021,14:18:14,Payment related,Y,Y,60,118,4
ID0945,Diane,1/17/2021,14:28:19,Payment related,Y,Y,97,155,5
ID0946,Becky,1/17/2021,14:28:19,Streaming,Y,Y,118,52,4
ID0947,Dan,1/17/2021,14:31:12,Technical Support,Y,Y,19,81,5
ID0948,Stewart,1/17/2021,14:31:12,Contract related,N,N,,0,
ID0949,Greg,1/17/2021,15:00:00,Streaming,N,N,,0,
ID0950,Dan,1/17/2021,15:00:00,Streaming,Y,Y,124,378,4
ID0951,Dan,1/17/2021,15:01:26,Payment related,Y,Y,53,311,2
ID0952,Diane,1/17/2021,15:01:26,Admin Support,Y,Y,61,38,5
ID0953,Joe,1/17/2021,15:21:36,Contract related,Y,Y,18,46,1
ID0954,Greg,1/17/2021,15:21:36,Admin Support,Y,Y,80,76,3
ID0955,Stewart,1/17/2021,16:22:05,Technical Support,Y,Y,47,248,4
ID0956,Stewart,1/17/2021,16:22:05,Payment related,Y,Y,101,320,2
ID0957,Joe,1/17/2021,16:24:58,Streaming,Y,Y,71,340,3
ID0958,Martha,1/17/2021,16:24:58,Technical Support,Y,Y,44,247,4
ID0959,Becky,1/17/2021,16:29:17,Payment related,Y,Y,14,180,4
ID0960,Martha,1/17/2021,16:29:17,Payment related,N,N,,0,
ID0961,Jim,1/17/2021,17:06:43,Contract related,Y,Y,44,160,2
ID0962,Diane,1/17/2021,17:06:43,Admin Support,Y,Y,97,406,4
ID0963,Becky,1/17/2021,17:16:48,Streaming,N,N,,0,
ID0964,Diane,1/17/2021,17:16:48,Admin Support,Y,N,91,249,3
ID0965,Dan,1/17/2021,17:21:07,Payment related,Y,Y,48,193,3
ID0966,Greg,1/17/2021,17:21:07,Contract related,Y,Y,45,99,3
ID0967,Becky,1/17/2021,17:54:14,Admin Support,Y,Y,60,120,5
ID0968,Jim,1/17/2021,17:54:14,Streaming,Y,Y,85,332,4
ID0969,Joe,1/18/2021,9:24:29,Admin Support,Y,Y,53,366,4
ID0970,Greg,1/18/2021,9:24:29,Contract related,Y,N,27,374,5
ID0971,Joe,1/18/2021,9:24:29,Admin Support,Y,Y,30,243,3
ID0972,Dan,1/18/2021,9:24:29,Contract related,N,N,,0,
ID0973,Jim,1/18/2021,9:31:41,Admin Support,Y,Y,113,181,5
ID0974,Jim,1/18/2021,9:31:41,Technical Support,N,N,,0,
ID0975,Diane,1/18/2021,9:36:00,Admin Support,N,N,,0,
ID0976,Jim,1/18/2021,9:36:00,Streaming,Y,Y,80,417,4
ID0977,Stewart,1/18/2021,10:16:19,Contract related,Y,Y,45,420,5
ID0978,Joe,1/18/2021,10:16:19,Admin Support,Y,Y,95,136,1
ID0979,Martha,1/18/2021,11:28:19,Streaming,N,N,,0,
ID0980,Dan,1/18/2021,11:28:19,Payment related,Y,Y,33,88,3
ID0981,Stewart,1/18/2021,11:47:02,Payment related,N,N,,0,
ID0982,Jim,1/18/2021,11:47:02,Streaming,Y,Y,90,407,3
ID0983,Greg,1/18/2021,11:51:22,Payment related,Y,Y,90,134,3
ID0984,Jim,1/18/2021,11:51:22,Streaming,Y,N,57,250,1
ID0985,Becky,1/18/2021,11:55:41,Admin Support,Y,Y,123,350,2
ID0986,Diane,1/18/2021,11:55:41,Admin Support,Y,Y,39,411,4
ID0987,Greg,1/18/2021,11:57:07,Technical Support,Y,N,38,136,5
ID0988,Diane,1/18/2021,11:57:07,Streaming,Y,Y,26,95,1
ID0989,Diane,1/18/2021,11:58:34,Contract related,Y,Y,43,154,3
ID0990,Jim,1/18/2021,11:58:34,Streaming,Y,Y,89,353,3
ID0991,Jim,1/18/2021,12:00:00,Contract related,Y,Y,121,324,3
ID0992,Jim,1/18/2021,12:00:00,Payment related,Y,Y,114,190,4
ID0993,Stewart,1/18/2021,12:34:34,Contract related,N,N,,0,
ID0994,Dan,1/18/2021,12:34:34,Technical Support,N,N,,0,
ID0995,Becky,1/18/2021,12:37:26,Streaming,N,N,,0,
ID0996,Becky,1/18/2021,12:37:26,Admin Support,Y,N,101,276,3
ID0997,Joe,1/18/2021,12:38:53,Payment related,Y,Y,87,319,4
ID0998,Greg,1/18/2021,12:38:53,Admin Support,Y,Y,22,362,5
ID0999,Stewart,1/18/2021,12:41:46,Streaming,Y,Y,19,237,2
ID1000,Becky,1/18/2021,12:41:46,Admin Support,Y,Y,31,150,4
ID1001,Martha,1/18/2021,12:48:58,Payment related,Y,Y,24,363,4
ID1002,Dan,1/18/2021,12:48:58,Payment related,Y,N,94,282,4
ID1003,Dan,1/18/2021,13:10:34,Streaming,Y,Y,79,47,4
ID1004,Jim,1/18/2021,13:10:34,Technical Support,N,N,,0,
ID1005,Martha,1/18/2021,13:10:34,Admin Support,Y,Y,87,280,4
ID1006,Dan,1/18/2021,13:10:34,Contract related,Y,N,65,364,4
ID1007,Martha,1/18/2021,14:58:34,Contract related,Y,Y,36,263,3
ID1008,Joe,1/18/2021,14:58:34,Technical Support,N,N,,0,
ID1009,Stewart,1/18/2021,15:18:43,Streaming,Y,Y,33,136,4
ID1010,Becky,1/18/2021,15:18:43,Contract related,N,N,,0,
ID1011,Jim,1/18/2021,15:50:24,Admin Support,N,N,,0,
ID1012,Greg,1/18/2021,15:50:24,Streaming,Y,Y,24,195,5
ID1013,Stewart,1/18/2021,16:12:00,Admin Support,Y,Y,32,220,5
ID1014,Joe,1/18/2021,16:12:00,Contract related,Y,N,24,226,4
ID1015,Stewart,1/18/2021,16:49:26,Technical Support,Y,Y,96,329,5
ID1016,Joe,1/18/2021,16:49:26,Technical Support,Y,Y,45,125,5
ID1017,Jim,1/18/2021,17:13:55,Admin Support,Y,Y,16,309,1
ID1018,Greg,1/18/2021,17:13:55,Technical Support,Y,Y,75,416,5
ID1019,Joe,1/18/2021,17:18:14,Contract related,Y,Y,71,37,3
ID1020,Stewart,1/18/2021,17:18:14,Technical Support,Y,Y,47,137,3
ID1021,Stewart,1/18/2021,17:18:14,Admin Support,Y,Y,54,288,3
ID1022,Becky,1/18/2021,17:18:14,Payment related,Y,Y,101,269,4
ID1023,Martha,1/18/2021,17:25:26,Streaming,Y,Y,46,127,3
ID1024,Becky,1/18/2021,17:25:26,Technical Support,Y,Y,45,415,3
ID1025,Martha,1/18/2021,17:26:53,Technical Support,Y,Y,45,325,4
ID1026,Jim,1/18/2021,17:26:53,Admin Support,Y,Y,30,298,5
ID1027,Greg,1/18/2021,17:42:43,Technical Support,Y,Y,105,294,4
ID1028,Jim,1/18/2021,17:42:43,Payment related,Y,Y,102,294,4
ID1029,Greg,1/18/2021,17:55:41,Payment related,Y,Y,46,301,3
ID1030,Stewart,1/18/2021,17:55:41,Admin Support,Y,Y,11,52,1
ID1031,Dan,1/19/2021,9:02:53,Payment related,Y,Y,125,363,3
ID1032,Stewart,1/19/2021,9:02:53,Admin Support,Y,Y,112,113,3
ID1033,Becky,1/19/2021,9:15:50,Technical Support,Y,Y,14,116,3
ID1034,Joe,1/19/2021,9:15:50,Contract related,Y,N,10,283,4
ID1035,Martha,1/19/2021,9:18:43,Contract related,Y,Y,60,32,3
ID1036,Diane,1/19/2021,9:18:43,Streaming,Y,Y,59,302,5
ID1037,Stewart,1/19/2021,9:36:00,Technical Support,Y,Y,87,223,5
ID1038,Martha,1/19/2021,9:36:00,Contract related,Y,Y,111,186,5
ID1039,Joe,1/19/2021,9:44:38,Contract related,N,N,,0,
ID1040,Becky,1/19/2021,9:44:38,Payment related,Y,Y,10,191,2
ID1041,Joe,1/19/2021,10:13:26,Technical Support,N,N,,0,
ID1042,Joe,1/19/2021,10:13:26,Streaming,N,N,,0,
ID1043,Greg,1/19/2021,10:19:12,Payment related,Y,Y,116,348,5
ID1044,Diane,1/19/2021,10:19:12,Admin Support,Y,N,89,200,3
ID1045,Becky,1/19/2021,10:33:36,Contract related,N,N,,0,
ID1046,Joe,1/19/2021,10:33:36,Contract related,Y,N,106,232,4
ID1047,Stewart,1/19/2021,10:52:19,Streaming,N,N,,0,
ID1048,Martha,1/19/2021,10:52:19,Streaming,Y,Y,81,87,4
ID1049,Dan,1/19/2021,11:25:26,Contract related,N,N,,0,
ID1050,Jim,1/19/2021,11:25:26,Admin Support,Y,Y,96,339,5
ID1051,Jim,1/19/2021,11:44:10,Payment related,Y,Y,64,366,5
ID1052,Jim,1/19/2021,11:44:10,Contract related,Y,N,79,409,1
ID1053,Jim,1/19/2021,11:55:41,Payment related,Y,Y,98,143,1
ID1054,Joe,1/19/2021,11:55:41,Admin Support,Y,Y,91,240,5
ID1055,Martha,1/19/2021,12:28:48,Streaming,N,N,,0,
ID1056,Stewart,1/19/2021,12:28:48,Contract related,Y,Y,84,404,2
ID1057,Joe,1/19/2021,12:40:19,Technical Support,Y,Y,47,358,5
ID1058,Martha,1/19/2021,12:40:19,Payment related,Y,Y,42,126,5
ID1059,Dan,1/19/2021,12:59:02,Streaming,Y,N,45,224,4
ID1060,Dan,1/19/2021,12:59:02,Technical Support,N,N,,0,
ID1061,Jim,1/19/2021,13:14:53,Payment related,Y,Y,19,96,5
ID1062,Greg,1/19/2021,13:14:53,Contract related,Y,Y,114,85,3
ID1063,Jim,1/19/2021,13:22:05,Admin Support,Y,Y,94,57,5
ID1064,Dan,1/19/2021,13:22:05,Payment related,N,N,,0,
ID1065,Diane,1/19/2021,13:26:24,Streaming,Y,Y,99,136,5
ID1066,Diane,1/19/2021,13:26:24,Streaming,Y,Y,23,272,4
ID1067,Greg,1/19/2021,13:36:29,Technical Support,N,N,,0,
ID1068,Dan,1/19/2021,13:36:29,Admin Support,Y,Y,80,292,5
ID1069,Stewart,1/19/2021,13:37:55,Payment related,Y,Y,18,319,3
ID1070,Diane,1/19/2021,13:37:55,Contract related,N,N,,0,
ID1071,Martha,1/19/2021,13:45:07,Payment related,Y,Y,104,213,4
ID1072,Martha,1/19/2021,13:45:07,Payment related,Y,Y,116,345,3
ID1073,Stewart,1/19/2021,14:22:34,Streaming,Y,Y,44,369,5
ID1074,Joe,1/19/2021,14:22:34,Payment related,Y,Y,91,403,4
ID1075,Greg,1/19/2021,15:00:00,Contract related,N,N,,0,
ID1076,Martha,1/19/2021,15:00:00,Technical Support,Y,Y,122,255,3
ID1077,Becky,1/19/2021,15:30:14,Streaming,Y,Y,103,169,3
ID1078,Becky,1/19/2021,15:30:14,Technical Support,Y,Y,18,121,5
ID1079,Jim,1/19/2021,15:34:34,Contract related,Y,Y,20,147,4
ID1080,Greg,1/19/2021,15:34:34,Payment related,Y,Y,93,101,2
ID1081,Becky,1/19/2021,15:54:43,Admin Support,N,N,,0,
ID1082,Joe,1/19/2021,15:54:43,Technical Support,Y,Y,63,260,4
ID1083,Greg,1/19/2021,16:09:07,Contract related,Y,Y,90,392,4
ID1084,Dan,1/19/2021,16:09:07,Contract related,Y,Y,43,240,4
ID1085,Jim,1/19/2021,16:40:48,Contract related,Y,N,105,110,4
ID1086,Joe,1/19/2021,16:40:48,Contract related,Y,Y,59,310,5
ID1087,Joe,1/19/2021,16:56:38,Admin Support,Y,Y,115,407,4
ID1088,Dan,1/19/2021,16:56:38,Payment related,Y,Y,106,111,4
ID1089,Becky,1/19/2021,17:15:22,Streaming,Y,Y,35,59,3
ID1090,Diane,1/19/2021,17:15:22,Contract related,Y,Y,48,395,4
ID1091,Jim,1/19/2021,17:24:00,Contract related,N,N,,0,
ID1092,Jim,1/19/2021,17:24:00,Technical Support,Y,Y,56,398,4
ID1093,Stewart,1/20/2021,9:05:46,Technical Support,N,N,,0,
ID1094,Stewart,1/20/2021,9:05:46,Admin Support,Y,Y,99,279,4
ID1095,Joe,1/20/2021,9:46:05,Admin Support,Y,Y,71,161,3
ID1096,Stewart,1/20/2021,9:46:05,Payment related,Y,Y,54,264,4
ID1097,Greg,1/20/2021,9:46:05,Admin Support,N,N,,0,
ID1098,Dan,1/20/2021,9:46:05,Payment related,N,N,,0,
ID1099,Jim,1/20/2021,9:46:05,Streaming,Y,Y,54,86,4
ID1100,Joe,1/20/2021,9:46:05,Technical Support,Y,Y,62,109,2
ID1101,Stewart,1/20/2021,10:22:05,Payment related,Y,Y,24,248,4
ID1102,Jim,1/20/2021,10:22:05,Admin Support,Y,Y,94,250,5
ID1103,Becky,1/20/2021,11:24:00,Payment related,Y,Y,43,56,3
ID1104,Martha,1/20/2021,11:24:00,Streaming,N,N,,0,
ID1105,Joe,1/20/2021,12:00:00,Streaming,Y,Y,58,254,5
ID1106,Greg,1/20/2021,12:00:00,Payment related,Y,Y,15,395,1
ID1107,Becky,1/20/2021,12:07:12,Contract related,Y,Y,102,76,1
ID1108,Greg,1/20/2021,12:07:12,Contract related,Y,Y,40,322,2
ID1109,Diane,1/20/2021,12:27:22,Technical Support,Y,Y,63,290,2
ID1110,Martha,1/20/2021,12:27:22,Streaming,Y,Y,77,382,4
ID1111,Martha,1/20/2021,12:59:02,Technical Support,Y,Y,93,330,4
ID1112,Becky,1/20/2021,12:59:02,Streaming,Y,Y,101,202,5
ID1113,Stewart,1/20/2021,13:00:29,Payment related,Y,Y,34,34,5
ID1114,Stewart,1/20/2021,13:00:29,Payment related,Y,Y,64,94,5
ID1115,Greg,1/20/2021,13:26:24,Technical Support,Y,N,25,392,3
ID1116,Jim,1/20/2021,13:26:24,Admin Support,Y,Y,122,133,4
ID1117,Stewart,1/20/2021,13:26:24,Streaming,Y,Y,36,61,4
ID1118,Stewart,1/20/2021,13:26:24,Contract related,Y,Y,37,94,3
ID1119,Joe,1/20/2021,13:59:31,Streaming,Y,Y,112,406,3
ID1120,Diane,1/20/2021,13:59:31,Payment related,N,N,,0,
ID1121,Jim,1/20/2021,14:03:50,Admin Support,Y,Y,57,293,3
ID1122,Jim,1/20/2021,14:03:50,Admin Support,Y,Y,14,148,3
ID1123,Becky,1/20/2021,16:00:29,Admin Support,Y,Y,72,251,2
ID1124,Becky,1/20/2021,16:00:29,Admin Support,Y,Y,60,392,3
ID1125,Becky,1/20/2021,16:20:38,Payment related,Y,Y,52,177,5
ID1126,Stewart,1/20/2021,16:20:38,Contract related,N,N,,0,
ID1127,Joe,1/20/2021,17:42:43,Streaming,Y,Y,73,45,3
ID1128,Becky,1/20/2021,17:42:43,Contract related,Y,Y,108,140,4
ID1129,Joe,1/20/2021,17:55:41,Streaming,Y,Y,50,108,4
ID1130,Stewart,1/20/2021,17:55:41,Technical Support,N,N,,0,
ID1131,Joe,1/20/2021,17:57:07,Admin Support,Y,N,100,244,2
ID1132,Joe,1/20/2021,17:57:07,Technical Support,Y,Y,69,82,3
ID1133,Becky,1/21/2021,9:20:10,Streaming,Y,Y,39,131,1
ID1134,Jim,1/21/2021,9:20:10,Technical Support,Y,Y,71,174,5
ID1135,Dan,1/21/2021,9:37:26,Streaming,N,N,,0,
ID1136,Greg,1/21/2021,9:37:26,Technical Support,Y,Y,79,79,5
ID1137,Martha,1/21/2021,9:56:10,Contract related,Y,Y,57,324,3
ID1138,Diane,1/21/2021,9:56:10,Admin Support,Y,Y,82,293,4
ID1139,Jim,1/21/2021,10:14:53,Contract related,Y,Y,73,193,1
ID1140,Jim,1/21/2021,10:14:53,Technical Support,Y,Y,110,131,5
ID1141,Martha,1/21/2021,10:19:12,Admin Support,Y,Y,106,109,5
ID1142,Jim,1/21/2021,10:19:12,Streaming,Y,Y,92,133,4
ID1143,Greg,1/21/2021,10:24:58,Streaming,Y,Y,28,360,4
ID1144,Martha,1/21/2021,10:24:58,Contract related,Y,Y,108,362,1
ID1145,Becky,1/21/2021,10:53:46,Streaming,Y,Y,57,107,4
ID1146,Martha,1/21/2021,10:53:46,Contract related,Y,Y,109,356,3
ID1147,Greg,1/21/2021,10:59:31,Contract related,Y,Y,55,97,2
ID1148,Martha,1/21/2021,10:59:31,Technical Support,N,N,,0,
ID1149,Dan,1/21/2021,11:15:22,Payment related,Y,Y,68,413,1
ID1150,Jim,1/21/2021,11:15:22,Admin Support,Y,N,46,34,3
ID1151,Jim,1/21/2021,12:02:53,Technical Support,Y,Y,30,299,3
ID1152,Martha,1/21/2021,12:02:53,Admin Support,Y,Y,107,50,4
ID1153,Greg,1/21/2021,12:02:53,Technical Support,Y,Y,122,385,5
ID1154,Martha,1/21/2021,12:02:53,Admin Support,N,N,,0,
ID1155,Stewart,1/21/2021,12:07:12,Technical Support,Y,Y,18,37,5
ID1156,Joe,1/21/2021,12:07:12,Streaming,N,N,,0,
ID1157,Joe,1/21/2021,15:47:31,Payment related,N,N,,0,
ID1158,Joe,1/21/2021,15:47:31,Technical Support,N,N,,0,
ID1159,Martha,1/21/2021,15:48:58,Technical Support,N,N,,0,
ID1160,Stewart,1/21/2021,15:48:58,Streaming,Y,Y,99,134,4
ID1161,Dan,1/21/2021,16:03:22,Contract related,Y,Y,52,107,2
ID1162,Martha,1/21/2021,16:03:22,Admin Support,N,N,,0,
ID1163,Becky,1/21/2021,16:20:38,Payment related,N,N,,0,
ID1164,Jim,1/21/2021,16:20:38,Contract related,Y,Y,79,47,3
ID1165,Martha,1/21/2021,16:29:17,Streaming,Y,Y,112,171,5
ID1166,Diane,1/21/2021,16:29:17,Payment related,Y,Y,16,263,3
ID1167,Joe,1/21/2021,16:46:34,Contract related,Y,Y,22,418,3
ID1168,Dan,1/21/2021,16:46:34,Contract related,Y,Y,115,85,1
ID1169,Dan,1/21/2021,17:11:02,Technical Support,Y,Y,125,277,4
ID1170,Martha,1/21/2021,17:11:02,Payment related,Y,Y,68,306,3
ID1171,Jim,1/21/2021,17:26:53,Technical Support,Y,Y,44,76,4
ID1172,Becky,1/21/2021,17:26:53,Technical Support,N,N,,0,
ID1173,Stewart,1/21/2021,17:26:53,Streaming,Y,Y,119,42,4
ID1174,Martha,1/21/2021,17:26:53,Streaming,Y,Y,62,54,5
ID1175,Greg,1/21/2021,17:26:53,Streaming,Y,Y,84,364,5
ID1176,Martha,1/21/2021,17:26:53,Technical Support,N,N,,0,
ID1177,Greg,1/21/2021,17:36:58,Streaming,Y,Y,75,388,4
ID1178,Martha,1/21/2021,17:36:58,Payment related,Y,Y,114,174,4
ID1179,Dan,1/21/2021,17:38:24,Technical Support,N,N,,0,
ID1180,Stewart,1/21/2021,17:38:24,Admin Support,Y,Y,21,130,4
ID1181,Stewart,1/22/2021,9:11:31,Technical Support,N,N,,0,
ID1182,Diane,1/22/2021,9:11:31,Admin Support,Y,Y,20,68,3
ID1183,Diane,1/22/2021,9:11:31,Technical Support,Y,Y,112,217,1
ID1184,Becky,1/22/2021,9:11:31,Streaming,Y,Y,85,324,4
ID1185,Martha,1/22/2021,9:24:29,Admin Support,Y,Y,34,367,3
ID1186,Diane,1/22/2021,9:24:29,Streaming,Y,Y,53,302,4
ID1187,Martha,1/22/2021,9:48:58,Streaming,Y,Y,103,134,5
ID1188,Becky,1/22/2021,9:48:58,Contract related,Y,Y,98,413,4
ID1189,Becky,1/22/2021,9:59:02,Technical Support,Y,Y,23,284,1
ID1190,Martha,1/22/2021,9:59:02,Admin Support,Y,Y,53,77,2
ID1191,Becky,1/22/2021,10:37:55,Technical Support,N,N,,0,
ID1192,Diane,1/22/2021,10:37:55,Contract related,Y,N,55,280,4
ID1193,Martha,1/22/2021,11:39:50,Admin Support,Y,Y,77,302,5
ID1194,Becky,1/22/2021,11:39:50,Technical Support,Y,Y,46,365,3
ID1195,Greg,1/22/2021,11:42:43,Technical Support,N,N,,0,
ID1196,Martha,1/22/2021,11:42:43,Payment related,Y,Y,39,305,4
ID1197,Greg,1/22/2021,11:55:41,Payment related,Y,Y,13,420,3
ID1198,Jim,1/22/2021,11:55:41,Admin Support,Y,Y,84,334,5
ID1199,Dan,1/22/2021,11:55:41,Admin Support,Y,Y,60,286,3
ID1200,Dan,1/22/2021,11:55:41,Admin Support,Y,Y,32,35,5
ID1201,Stewart,1/22/2021,12:47:31,Technical Support,N,N,,0,
ID1202,Greg,1/22/2021,12:47:31,Contract related,N,N,,0,
ID1203,Joe,1/22/2021,14:19:41,Admin Support,N,N,,0,
ID1204,Dan,1/22/2021,14:19:41,Payment related,Y,Y,67,402,4
ID1205,Stewart,1/22/2021,14:22:34,Streaming,Y,N,94,238,4
ID1206,Stewart,1/22/2021,14:22:34,Streaming,Y,Y,92,370,1
ID1207,Becky,1/22/2021,14:44:10,Streaming,Y,Y,35,70,3
ID1208,Diane,1/22/2021,14:44:10,Admin Support,Y,Y,57,81,5
ID1209,Stewart,1/22/2021,14:48:29,Streaming,N,N,,0,
ID1210,Jim,1/22/2021,14:48:29,Admin Support,Y,Y,15,295,4
ID1211,Becky,1/22/2021,14:49:55,Admin Support,Y,N,54,195,5
ID1212,Greg,1/22/2021,14:49:55,Payment related,Y,Y,99,60,1
ID1213,Martha,1/22/2021,15:30:14,Contract related,N,N,,0,
ID1214,Jim,1/22/2021,15:30:14,Streaming,N,N,,0,
ID1215,Martha,1/22/2021,15:56:10,Streaming,N,N,,0,
ID1216,Martha,1/22/2021,15:56:10,Admin Support,N,N,,0,
ID1217,Martha,1/22/2021,16:01:55,Payment related,N,N,,0,
ID1218,Becky,1/22/2021,16:01:55,Streaming,Y,Y,78,65,5
ID1219,Greg,1/22/2021,16:39:22,Admin Support,N,N,,0,
ID1220,Jim,1/22/2021,16:39:22,Payment related,Y,N,35,309,5
ID1221,Becky,1/22/2021,16:50:53,Contract related,N,N,,0,
ID1222,Stewart,1/22/2021,16:50:53,Contract related,Y,Y,33,369,5
ID1223,Greg,1/22/2021,16:56:38,Streaming,Y,Y,72,249,5
ID1224,Joe,1/22/2021,16:56:38,Technical Support,Y,N,82,302,1
ID1225,Greg,1/22/2021,17:25:26,Admin Support,N,N,,0,
ID1226,Greg,1/22/2021,17:25:26,Payment related,Y,Y,115,252,5
ID1227,Diane,1/22/2021,17:38:24,Streaming,Y,Y,64,102,3
ID1228,Martha,1/22/2021,17:38:24,Technical Support,N,N,,0,
ID1229,Jim,1/22/2021,17:47:02,Payment related,Y,Y,71,241,2
ID1230,Becky,1/22/2021,17:47:02,Streaming,Y,N,50,308,3
ID1231,Greg,1/23/2021,9:31:41,Streaming,Y,Y,116,73,2
ID1232,Martha,1/23/2021,9:31:41,Admin Support,Y,Y,52,87,5
ID1233,Greg,1/23/2021,9:40:19,Technical Support,Y,Y,112,217,5
ID1234,Stewart,1/23/2021,9:40:19,Admin Support,Y,Y,116,162,3
ID1235,Becky,1/23/2021,9:51:50,Payment related,Y,N,112,378,2
ID1236,Dan,1/23/2021,9:51:50,Streaming,Y,Y,53,346,4
ID1237,Diane,1/23/2021,9:57:36,Admin Support,Y,Y,12,331,3
ID1238,Joe,1/23/2021,9:57:36,Technical Support,Y,N,120,54,4
ID1239,Diane,1/23/2021,10:49:26,Admin Support,N,N,,0,
ID1240,Dan,1/23/2021,10:49:26,Technical Support,Y,Y,118,169,4
ID1241,Jim,1/23/2021,11:00:58,Contract related,Y,Y,121,169,2
ID1242,Martha,1/23/2021,11:00:58,Streaming,Y,Y,83,408,5
ID1243,Joe,1/23/2021,11:18:14,Streaming,Y,Y,84,81,5
ID1244,Becky,1/23/2021,11:18:14,Payment related,Y,N,63,300,4
ID1245,Jim,1/23/2021,11:29:46,Technical Support,Y,Y,33,209,3
ID1246,Dan,1/23/2021,11:29:46,Contract related,N,N,,0,
ID1247,Greg,1/23/2021,11:32:38,Admin Support,Y,N,10,61,5
ID1248,Joe,1/23/2021,11:32:38,Admin Support,Y,Y,100,42,5
ID1249,Diane,1/23/2021,11:35:31,Contract related,Y,Y,110,303,5
ID1250,Stewart,1/23/2021,11:35:31,Payment related,Y,Y,28,316,2
ID1251,Joe,1/23/2021,11:36:58,Admin Support,Y,Y,74,75,3
ID1252,Jim,1/23/2021,11:36:58,Admin Support,Y,Y,18,81,3
ID1253,Becky,1/23/2021,11:44:10,Streaming,Y,Y,22,372,3
ID1254,Diane,1/23/2021,11:44:10,Streaming,N,N,,0,
ID1255,Martha,1/23/2021,11:55:41,Contract related,Y,Y,15,217,3
ID1256,Martha,1/23/2021,11:55:41,Admin Support,Y,Y,120,252,2
ID1257,Martha,1/23/2021,12:14:24,Contract related,Y,Y,26,227,3
ID1258,Diane,1/23/2021,12:14:24,Payment related,Y,Y,33,104,5
ID1259,Dan,1/23/2021,12:43:12,Streaming,Y,Y,18,74,4
ID1260,Greg,1/23/2021,12:43:12,Payment related,Y,Y,29,355,5
ID1261,Greg,1/23/2021,12:54:43,Payment related,Y,Y,89,94,2
ID1262,Martha,1/23/2021,12:54:43,Technical Support,N,N,,0,
ID1263,Diane,1/23/2021,13:33:36,Admin Support,Y,Y,44,192,5
ID1264,Diane,1/23/2021,13:33:36,Contract related,Y,N,62,213,4
ID1265,Dan,1/23/2021,13:37:55,Admin Support,Y,Y,29,110,5
ID1266,Joe,1/23/2021,13:37:55,Admin Support,Y,Y,10,402,5
ID1267,Dan,1/23/2021,14:13:55,Payment related,Y,Y,75,120,4
ID1268,Martha,1/23/2021,14:13:55,Streaming,N,N,,0,
ID1269,Dan,1/23/2021,14:52:48,Technical Support,Y,Y,33,66,5
ID1270,Becky,1/23/2021,14:52:48,Technical Support,N,N,,0,
ID1271,Becky,1/23/2021,16:01:55,Payment related,Y,N,56,118,4
ID1272,Martha,1/23/2021,16:01:55,Admin Support,N,N,,0,
ID1273,Stewart,1/23/2021,16:13:26,Contract related,Y,N,31,31,3
ID1274,Greg,1/23/2021,16:13:26,Streaming,Y,Y,56,80,2
ID1275,Jim,1/23/2021,16:37:55,Payment related,Y,Y,53,103,4
ID1276,Diane,1/23/2021,16:37:55,Technical Support,Y,Y,12,348,3
ID1277,Stewart,1/23/2021,16:45:07,Streaming,Y,Y,53,363,3
ID1278,Diane,1/23/2021,16:45:07,Streaming,Y,Y,116,298,3
ID1279,Joe,1/23/2021,17:24:00,Payment related,Y,Y,19,71,4
ID1280,Dan,1/23/2021,17:24:00,Contract related,N,N,,0,
ID1281,Joe,1/23/2021,17:41:17,Streaming,Y,Y,74,354,2
ID1282,Greg,1/23/2021,17:41:17,Streaming,Y,Y,85,164,3
ID1283,Greg,1/23/2021,17:44:10,Contract related,N,N,,0,
ID1284,Stewart,1/23/2021,17:44:10,Payment related,N,N,,0,
ID1285,Dan,1/24/2021,9:05:46,Payment related,N,N,,0,
ID1286,Diane,1/24/2021,9:05:46,Streaming,Y,Y,48,396,2
ID1287,Joe,1/24/2021,9:05:46,Payment related,Y,Y,57,272,3
ID1288,Jim,1/24/2021,9:05:46,Admin Support,Y,N,116,309,3
ID1289,Greg,1/24/2021,9:12:58,Admin Support,Y,Y,21,50,1
ID1290,Martha,1/24/2021,9:12:58,Contract related,Y,Y,87,131,3
ID1291,Joe,1/24/2021,9:20:10,Technical Support,Y,Y,42,236,3
ID1292,Greg,1/24/2021,9:20:10,Technical Support,Y,Y,86,88,1
ID1293,Joe,1/24/2021,9:24:29,Payment related,Y,Y,95,185,5
ID1294,Joe,1/24/2021,9:24:29,Contract related,N,N,,0,
ID1295,Jim,1/24/2021,9:54:43,Technical Support,Y,Y,109,347,3
ID1296,Greg,1/24/2021,9:54:43,Payment related,N,N,,0,
ID1297,Greg,1/24/2021,10:03:22,Admin Support,Y,Y,104,335,2
ID1298,Martha,1/24/2021,10:03:22,Payment related,Y,Y,123,115,1
